ID	Cognate_ID	Year	Original_Form	Orthography	Ortho_Segments	IPA	IPA_Segments	Indonesian	English	English_Original	Doculect	Sources	Note_for_Year	Note_for_Cognate	Crossreference	PAN_Etymon	PAN_English	PAN_Source	PMP_Etymon	PMP_English	PMP_Source	Etymology_Source	Concepticon_Gloss	Semantic_Field	Concepticon	Number_of_Cognates
25	9	1891	panĕma	panėma	p a n ė m a	panəma	p a n ə m a	kapak	adze		Enggano Barohia	Helfrich & Pieters 1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ADZE	Basic actions and technology	https://concepticon.clld.org/parameters/290	4
26	9	1987	epanõmãʔã	epanõmã'ã	e p a n õ m ã ' ã	epanɔ͂mãʔã	e p a n ɔ͂ m ã ʔ ã	kapak	adze		Enggano	Kähler 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ADZE	Basic actions and technology	https://concepticon.clld.org/parameters/290	4
27	10	1888	maho	maho	m a h o	maho	m a h o	takut	afraid		Enggano	Helfrich 1888	""maho"" belongs to Helfrich's ""second dialect""	NA	NA	*<a href=""https://acd.clld.org/cognatesets/30377"" target=""_blank"">takut</a>	fear	ACD	*<a href=""https://acd.clld.org/cognatesets/30377"" target=""_blank"">takut</a>	fear	ACD	Lafeber 1922:21	FEAR (BE AFRAID)	Emotions and values	https://concepticon.clld.org/parameters/1419	6
28	10	1891	kahok²	kaho'	k a h o '	kahoʔ	k a h o ʔ	takut	afraid	afraid, fear (v.)	Enggano Kèfoe	Helfrich & Pieters 1891	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/30377"" target=""_blank"">takut</a>	fear	ACD	*<a href=""https://acd.clld.org/cognatesets/30377"" target=""_blank"">takut</a>	fear	ACD	Lafeber 1922:21	FEAR (BE AFRAID)	Emotions and values	https://concepticon.clld.org/parameters/1419	6
29	10	1891	kahok²	kaho'	k a h o '	kahoʔ	k a h o ʔ	takut	afraid	afraid, fear (v.)	Enggano Barohia	Helfrich & Pieters 1891	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/30377"" target=""_blank"">takut</a>	fear	ACD	*<a href=""https://acd.clld.org/cognatesets/30377"" target=""_blank"">takut</a>	fear	ACD	Lafeber 1922:21	FEAR (BE AFRAID)	Emotions and values	https://concepticon.clld.org/parameters/1419	6
30	10	1894	coeue	koeue	k o e u e	koeue	k o e u e	takut	afraid		Enggano	Modigliani 1894	 	NA	NA	*<a href=""https://acd.clld.org/cognatesets/30377"" target=""_blank"">takut</a>	fear	ACD	*<a href=""https://acd.clld.org/cognatesets/30377"" target=""_blank"">takut</a>	fear	ACD	Lafeber 1922:21	FEAR (BE AFRAID)	Emotions and values	https://concepticon.clld.org/parameters/1419	6
31	10	1894	cahò	kahO	k a h O	kahɔ	k a h ɔ	takut	afraid		Enggano	Modigliani 1894	 	NA	NA	*<a href=""https://acd.clld.org/cognatesets/30377"" target=""_blank"">takut</a>	fear	ACD	*<a href=""https://acd.clld.org/cognatesets/30377"" target=""_blank"">takut</a>	fear	ACD	Lafeber 1922:21	FEAR (BE AFRAID)	Emotions and values	https://concepticon.clld.org/parameters/1419	6
32	10	1894	[chèoba] mahò	[kEoba] mahO	[ k E o b a ] # m a h O	[kɛoba] mahɔ	[ k ɛ o b a ] # m a h ɔ	takut	afraid		Enggano	Modigliani 1894	 [chèoba] mahò means 'brave' and literally means 'not fear'	NA	NA	*<a href=""https://acd.clld.org/cognatesets/30377"" target=""_blank"">takut</a>	fear	ACD	*<a href=""https://acd.clld.org/cognatesets/30377"" target=""_blank"">takut</a>	fear	ACD	Lafeber 1922:21	FEAR (BE AFRAID)	Emotions and values	https://concepticon.clld.org/parameters/1419	6
33	10	1987	kahãhõ	kahãhõ	k a h ã h õ	kahãhɔ͂	k a h ã h ɔ͂	takut	afraid		Enggano	Kähler 1987	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/30377"" target=""_blank"">takut</a>	fear	ACD	*<a href=""https://acd.clld.org/cognatesets/30377"" target=""_blank"">takut</a>	fear	ACD	Lafeber 1922:21	FEAR (BE AFRAID)	Emotions and values	https://concepticon.clld.org/parameters/1419	6
34	10	2011	kããh	kããh	k ã ã h	kããh	k ã ã h	takut	afraid		Enggano Meok	Yoder 2011	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/30377"" target=""_blank"">takut</a>	fear	ACD	*<a href=""https://acd.clld.org/cognatesets/30377"" target=""_blank"">takut</a>	fear	ACD	Lafeber 1922:21	FEAR (BE AFRAID)	Emotions and values	https://concepticon.clld.org/parameters/1419	6
35	10	2019	kã'ãh	kã'ãh	k ã ' ã h	kãʔãh	k ã ʔ ã h	takut	afraid		Enggano Elicitation	Aron 2019	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/30377"" target=""_blank"">takut</a>	fear	ACD	*<a href=""https://acd.clld.org/cognatesets/30377"" target=""_blank"">takut</a>	fear	ACD	Lafeber 1922:21	FEAR (BE AFRAID)	Emotions and values	https://concepticon.clld.org/parameters/1419	6
36	11	1888	kanik	kanik	k a n i k	kanik	k a n i k	takut	afraid		Enggano	Helfrich 1888	""kanik"" belongs to Helfrich's ""first dialect""	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEAR (BE AFRAID)	Emotions and values	https://concepticon.clld.org/parameters/1419	1
37	12	1987	ahō	ahoo	a h o o	ahoː	a h oː	setelah	after		Enggano	Kähler 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AFTER	Spatial relations	https://concepticon.clld.org/parameters/1685	1
38	13	1895	kèkiĕ_abŏdō	kEkiė_abOdoo	k E k i ė _ a b O d o o	kɛkiə_abɔdoː	k ɛ k i ə _ a b ɔ d oː	akhirat	afterlife		Enggano Pulau Dua 1895	Stockhof 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
39	14	1895	kodanŏŏ	kOdanOO	k O d a n O O	kɔdanɔː	k ɔ d a n ɔː	akhirat	afterlife		Enggano Pulau Dua 1895	Stockhof 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
40	15	1895	kodāpākāhā	kOdaapaakaahaa	k O d a a p a a k a a h a a	kɔdaːpaːkaːhaː	k ɔ d aː p aː k aː h aː	akhirat	afterlife		Enggano Pulau Dua 1895	Stockhof 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
41	16	1891	apoi	apo:i	a p o:i	apɔi	a p ɔi	sore	afternoon		Enggano Kèfoe	Helfrich & Pieters 1891	NA	3 p.m.	cf. evening	*<a href=""https://acd.clld.org/cognatesets/27923"" target=""_blank"">Rabiqi</a>	late afternoon	ACD	*<a href=""https://acd.clld.org/cognatesets/27923#s-9029"" target=""_blank"">Rabiqi</a>	late afternoon	ACD	Krauße	AFTERNOON	Time	https://concepticon.clld.org/parameters/1807	1
42	16	1891	apoi	apo:i	a p o:i	apɔi	a p ɔi	sore	afternoon		Enggano Barohia	Helfrich & Pieters 1891	NA	3 p.m.	cf. evening	*<a href=""https://acd.clld.org/cognatesets/27923"" target=""_blank"">Rabiqi</a>	late afternoon	ACD	*<a href=""https://acd.clld.org/cognatesets/27923#s-9029"" target=""_blank"">Rabiqi</a>	late afternoon	ACD	Krauße	AFTERNOON	Time	https://concepticon.clld.org/parameters/1807	1
43	17	1891	kahainoafè	kahainoafE	k a h a i n o a f E	kahainoafɛ	k a h a i n o a f ɛ	lagi	again		Enggano Kèfoe	Helfrich & Pieters 1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AGAIN	Time	https://concepticon.clld.org/parameters/204	2
44	17	1891	kahainoafè	kahainoafE	k a h a i n o a f E	kahainoafɛ	k a h a i n o a f ɛ	lagi	again		Enggano Barohia	Helfrich & Pieters 1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AGAIN	Time	https://concepticon.clld.org/parameters/204	2
45	17	1987	kahinũãpẽ	kahinũãpẽ	k a h i n ũ ã p ẽ	kahinũãpẽ	k a h i n ũ ã p ẽ	lagi	again		Enggano	Kähler 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AGAIN	Time	https://concepticon.clld.org/parameters/204	2
46	18	1894	nuchi_pecaia	nuki_peka:ia	n u k i _ p e k a:i a	nuki_pekaia	n u k i _ p e k ai a	lagi	again		Enggano	Modigliani 1894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AGAIN	Time	https://concepticon.clld.org/parameters/204	1
47	19	1891	kièèo	kiEEo	k i E E o	kiɛɛo	k i ɛ ɛ o	lincah	agile		Enggano Kèfoe	Helfrich & Pieters 1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
48	19	1891	kièèo	kiEEo	k i E E o	kiɛɛo	k i ɛ ɛ o	lincah	agile		Enggano Barohia	Helfrich & Pieters 1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
49	20	1891	kaèlaho	ka:elaho	k a:e l a h o	kaɛlaho	k aɛ l a h o	udara	air		Enggano Kèfoe	Helfrich & Pieters 1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AIR	The physical world	https://concepticon.clld.org/parameters/27	1
50	20	1891	kaèlaho	ka:elaho	k a:e l a h o	kaɛlaho	k aɛ l a h o	udara	air		Enggano Barohia	Helfrich & Pieters 1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AIR	The physical world	https://concepticon.clld.org/parameters/27	1
51	21	1864	khidrah	khidrah	k h i d r a h	khidrah	k h i d r a h	semua	all		Enggano North	Walland 1864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALL	Quantity	https://concepticon.clld.org/parameters/98	9
52	21	1891	kidjĕra	kijėra	k i j ė r a	kid͡ʒəra	k i d͡ʒ ə r a	semua	all		Enggano Kèfoe	Helfrich & Pieters 1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALL	Quantity	https://concepticon.clld.org/parameters/98	9
53	21	1891	kidjĕra	kijėra	k i j ė r a	kid͡ʒəra	k i d͡ʒ ə r a	semua	all		Enggano Barohia	Helfrich & Pieters 1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALL	Quantity	https://concepticon.clld.org/parameters/98	9
54	21	1894	chidara	kidara	k i d a r a	kidara	k i d a r a	semua	all	all, their	Enggano	Modigliani 1894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALL	Quantity	https://concepticon.clld.org/parameters/98	9
55	21	1895	kidjĕrŏ	kijėrO	k i j ė r O	kid͡ʒərɔ	k i d͡ʒ ə r ɔ	semua	all		Enggano Pulau Dua 1895	Stockhof 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALL	Quantity	https://concepticon.clld.org/parameters/98	9
56	21	1979	kiar	kiar	k i a r	kiar	k i a r	semua	all		Enggano	Amran et al. 1979	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALL	Quantity	https://concepticon.clld.org/parameters/98	9
57	21	1982	kidjera	kijEra	k i j E r a	kid͡ʒɛra	k i d͡ʒ ɛ r a	semua	all		Enggano	Capell 1982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALL	Quantity	https://concepticon.clld.org/parameters/98	9
58	21	1987	kídera	kídera	k í d e r a	kidera	k i d e r a	semua	all		Enggano	Kähler 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALL	Quantity	https://concepticon.clld.org/parameters/98	9
59	21	1987	kítera	kítera	k í t e r a	kitera	k i t e r a	semua	all		Enggano	Kähler 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALL	Quantity	https://concepticon.clld.org/parameters/98	9
60	21	1987	ki	ki	k i	ki	k i	semua	all		Enggano Malakoni	Kasim et al. 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALL	Quantity	https://concepticon.clld.org/parameters/98	9
61	21	1987	kiar	kiar	k i a r	kiar	k i a r	semua	all		Enggano Banjar Sari	Kasim et al. 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALL	Quantity	https://concepticon.clld.org/parameters/98	9
62	21	2011	kiar	kiar	k i a r	kiar	k i a r	semua	all		Enggano Meok	Yoder 2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALL	Quantity	https://concepticon.clld.org/parameters/98	9
63	21	2019	kitėr	kitėr	k i t ė r	kitәr	k i t ә r	semua	all		Enggano Elicitation	Aron 2019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALL	Quantity	https://concepticon.clld.org/parameters/98	9
64	22	1895	fakidja	fakija	f a k i j a	fakid͡ʒa	f a k i d͡ʒ a	semua	all		Enggano Pulau Dua 1895	Stockhof 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALL	Quantity	https://concepticon.clld.org/parameters/98	1
65	23	1895	haèloedă(k)	haEludă'	h a E l u d ă '	haɛludᾰʔ	h a ɛ l u d ᾰ ʔ	semua	all		Enggano Pulau Dua 1895	Stockhof 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALL	Quantity	https://concepticon.clld.org/parameters/98	1
66	24	2011	nahai	naha:i	n a h a:i	nahai	n a h ai	mengizinkan	allow		Enggano Meok	Yoder 2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALLOW	Social and political relations	https://concepticon.clld.org/parameters/3238	1
67	24	2019	nahai	nahai	n a h a i	nahai	n a h a i	mengizinkan	allow		Enggano Elicitation	Aron 2019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALLOW	Social and political relations	https://concepticon.clld.org/parameters/3238	1
68	25	1895	ijabakoewā	iyabakuwaa	i y a b a k u w a a	ijabakuwaː	i j a b a k u w aː	sekutu	ally		Enggano Pulau Dua 1895	Stockhof 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
69	26	1891	fanè	fanE	f a n E	fanɛ	f a n ɛ	hampir	almost		Enggano Kèfoe	Helfrich & Pieters 1891	NA	NA	cf. tight	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
70	26	1891	panè	panE	p a n E	panɛ	p a n ɛ	hampir	almost		Enggano Barohia	Helfrich & Pieters 1891	NA	NA	cf. tight	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
71	26	1894	bapanena	bapanena	b a p a n e n a	bapanena	b a p a n e n a	hampir	almost		Enggano	Modigliani 1894	NA	NA	cf. tight	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
72	26	1895	panĕha	panėha	p a n ė h a	panəha	p a n ə h a	hampir	almost		Enggano Pulau Dua 1895	Stockhof 1987	NA	NA	cf. tight	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
73	26	1987	panẽ̄	panẽẽ	p a n ẽ ẽ	panẽː	p a n ẽː	hampir	almost		Enggano	Kähler 1987	NA	NA	cf. tight	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
74	27	2011	ki-kãʔũ	ki-kã'ũ	k i - k ã ' ũ	ki-kãʔũ	k i - k ã ʔ ũ	setengah pingsan	almost faint		Enggano Meok	Yoder 2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FAINT (PASS OUT)	The body	https://concepticon.clld.org/parameters/3616	2
75	27	2019	kĩkã'ũ	kĩkã'ũ	k ĩ k ã ' ũ	kĩkãʔũ	k ĩ k ã ʔ ũ	setengah pingsan	almost faint		Enggano Elicitation	Aron 2019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FAINT (PASS OUT)	The body	https://concepticon.clld.org/parameters/3616	2
76	28	2019	kipahki'ė	kipahki'ė	k i p a h k i ' ė	kipahkiʔә	k i p a h k i ʔ ә	setengah pingsan	almost faint		Enggano Elicitation	Aron 2019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FAINT (PASS OUT)	The body	https://concepticon.clld.org/parameters/3616	1
77	29	2011	pahnamik	pahnamik	p a h n a m i k	pahnamik	p a h n a m i k	hampir tidak terlihat	almost invisible		Enggano Meok	Yoder 2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
78	29	2019	kipahnamik	kipahnamik	k i p a h n a m i k	kipahnamik	k i p a h n a m i k	hampir tidak terlihat	almost invisible		Enggano Elicitation	Aron 2019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
79	30	1891	aböha	abu̇ha	a b u̇ h a	abɨha	a b ɨ h a	sudah	already		Enggano Kèfoe	Helfrich & Pieters 1891	NA	NA	cf. ready, cf. finished, cf. roast (v.), cf. ripe	NA	NA	NA	NA	NA	NA	NA	ALREADY	Time	https://concepticon.clld.org/parameters/2576	8
80	30	1891	aböha	abu̇ha	a b u̇ h a	abɨha	a b ɨ h a	sudah	already		Enggano Barohia	Helfrich & Pieters 1891	NA	NA	cf. ready, cf. finished, cf. roast (v.), cf. ripe	NA	NA	NA	NA	NA	NA	NA	ALREADY	Time	https://concepticon.clld.org/parameters/2576	8
81	30	1894	abóha	aboha	a b o h a	aboha	a b o h a	sudah	already		Enggano	Modigliani 1894	NA	NA	cf. ready, cf. finished, cf. roast (v.), cf. ripe	NA	NA	NA	NA	NA	NA	NA	ALREADY	Time	https://concepticon.clld.org/parameters/2576	8
82	30	1895	aboeha	abuha	a b u h a	abuha	a b u h a	sudah	already		Enggano Pulau Dua 1895	Stockhof 1987	NA	NA	cf. ready, cf. finished, cf. roast (v.), cf. ripe	NA	NA	NA	NA	NA	NA	NA	ALREADY	Time	https://concepticon.clld.org/parameters/2576	8
83	30	1979	abeh	abeh	a b e h	abeh	a b e h	sudah	already		Enggano	Amran et al. 1979	NA	NA	cf. ready, cf. finished, cf. roast (v.), cf. ripe	NA	NA	NA	NA	NA	NA	NA	ALREADY	Time	https://concepticon.clld.org/parameters/2576	8
84	30	ms.	ʔaˈbəh	NA	NA	NA	NA	sudah	already		Enggano	Nothofer 1986 ms.	NA	NA	cf. ready, cf. finished, cf. roast (v.), cf. ripe	NA	NA	NA	NA	NA	NA	NA	ALREADY	Time	https://concepticon.clld.org/parameters/2576	8
85	30	1987	abəha	abu̇ha	a b u̇ h a	abɨha	a b ɨ h a	sudah	already		Enggano	Kähler 1987	NA	NA	cf. ready, cf. finished, cf. roast (v.), cf. ripe	NA	NA	NA	NA	NA	NA	NA	ALREADY	Time	https://concepticon.clld.org/parameters/2576	8
86	30	2011	ʔabɨx	'abu̇x	' a b u̇ x	ʔabɨç	ʔ a b ɨ ç	sudah	already		Enggano Meok	Yoder 2011	NA	NA	cf. ready, cf. finished, cf. roast (v.), cf. ripe	NA	NA	NA	NA	NA	NA	NA	ALREADY	Time	https://concepticon.clld.org/parameters/2576	8
87	30	2019	abėh	abėh	a b ė h	abәh	a b ә h	sudah	already		Enggano Elicitation	Aron 2019	NA	NA	cf. ready, cf. finished, cf. roast (v.), cf. ripe	NA	NA	NA	NA	NA	NA	NA	ALREADY	Time	https://concepticon.clld.org/parameters/2576	8
88	31	1982	ho̲o̲	hOO	h O O	hɔː	h ɔː	sudah	already		Enggano	Capell 1982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALREADY	Time	https://concepticon.clld.org/parameters/2576	3
89	31	1987	hō	hoo	h o o	hoː	h oː	sudah	already		Enggano	Kähler 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALREADY	Time	https://concepticon.clld.org/parameters/2576	3
90	31	2011	ho	ho	h o	ho	h o	sudah	already		Enggano Meok	Yoder 2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALREADY	Time	https://concepticon.clld.org/parameters/2576	3
91	31	2023	ho	ho	h o	ho	h o	sudah	already		Contemporary Enggano	Zakaria et al. 2023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALREADY	Time	https://concepticon.clld.org/parameters/2576	3
92	32	1894	bodo	bodo	b o d o	bodo	b o d o	selalu	always		Enggano	Modigliani 1894	NA	NA	cf. earlier	NA	NA	NA	NA	NA	NA	NA	ALWAYS	Time	https://concepticon.clld.org/parameters/1676	1
93	33	1891	ofè	ofE	o f E	ofɛ	o f ɛ	penyergapan	ambush		Enggano Kèfoe	Helfrich & Pieters 1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AMBUSH	Warfare and hunting	https://concepticon.clld.org/parameters/65	1
94	33	1891	ofè	ofE	o f E	ofɛ	o f ɛ	penyergapan	ambush		Enggano Barohia	Helfrich & Pieters 1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AMBUSH	Warfare and hunting	https://concepticon.clld.org/parameters/65	1
95	34	1891	omokie	omoki	o m o k i	omoki	o m o k i	penyergapan	ambush		Enggano Kèfoe	Helfrich & Pieters 1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AMBUSH	Warfare and hunting	https://concepticon.clld.org/parameters/65	1
96	34	1891	omokie	omoki	o m o k i	omoki	o m o k i	penyergapan	ambush		Enggano Barohia	Helfrich & Pieters 1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AMBUSH	Warfare and hunting	https://concepticon.clld.org/parameters/65	1
