year	words	indonesian_gloss	english_gloss	semantic_field	EngganoLanguage	EngganoSource	id	year_id	english_new	n_word	notes	note_year	note_id	note_etc
1891	kaèlaho	udara	air	natural objects	Enggano Kèfoe	Helfrich & Pieters 1891	20	1891	air	1				
1891	kaèlaho	udara	air	natural objects	Enggano Barohia	Helfrich & Pieters 1891	20	1891	air	1				
1864	khidrah	semua	all	quantity	Enggano North	Walland 1864	21	1864	all	1				
1891	kidjĕra	semua	all	quantity	Enggano Kèfoe	Helfrich & Pieters 1891	21	1891	all	1				
1891	kidjĕra	semua	all	quantity	Enggano Barohia	Helfrich & Pieters 1891	21	1891	all	1				
1894	chidara	semua	all	quantity	Enggano	Modigliani 1894	21	1894	all, their	1				
1895	kidjĕrŏ	semua	all	quantity	Enggano Pulau Dua 1895	Stockhof 1987	21	1895	all	1				
1982	kidjera	semua	all	quantity	Enggano	Capell 1982	21	1982	all	1				
1987	kídera ; kítera	semua	all	quantity	Enggano	Kähler 1987	21	1987K	all	2				
1987	ki	semua	all	quantity	Enggano Malakoni	Kasim et al. 1987	21	1987	all	1				
1987	kiar	semua	all	quantity	Enggano Banjar Sari	Kasim et al. 1987	21	1987	all	1				
2011	kiar	semua	all	quantity	Enggano Meok	Yoder 2011	21	2011	all	1				
2019	kitėr	semua	all	quantity	Enggano Elicitation	Aron 2019	21	2019	all	1				
1895	fakidja	semua	all	quantity	Enggano Pulau Dua 1895	Stockhof 1987	22	1895	all	1				
1895	haèloedă(k)	semua	all	quantity	Enggano Pulau Dua 1895	Stockhof 1987	23	1895	all	1				
2011	nahai	mengizinkan	allow	other	Enggano Meok	Yoder 2011	24	2011	allow	1				
2019	nahai	mengizinkan	allow	other	Enggano Elicitation	Aron 2019	24	2019	allow	1				
1895	ijabakoewā	sekutu	ally		Enggano Pulau Dua 1895	Stockhof 1987	25	1895	ally	1				
1891	fanè	hampir	almost	function words	Enggano Kèfoe	Helfrich & Pieters 1891	26	1891	almost	1				cf. tight
1891	panè	hampir	almost	function words	Enggano Barohia	Helfrich & Pieters 1891	26	1891	almost	1				cf. tight
1894	bapanena	hampir	almost	function words	Enggano	Modigliani 1894	26	1894	almost	1				cf. tight
1895	panĕha	hampir	almost	function words	Enggano Pulau Dua 1895	Stockhof 1987	26	1895	almost	1				cf. tight
1987	panẽ̄	hampir	almost	function words	Enggano	Kähler 1987	26	1987K	almost	1				cf. tight
2011	ki-kãʔũ	setengah pingsan	almost faint	diseases	Enggano Meok	Yoder 2011	27	2011	almost faint	1				
2019	kĩkã'ũ	setengah pingsan	almost faint	diseases	Enggano Elicitation	Aron 2019	27	2019	almost faint	1				
2019	kipahki'ė	setengah pingsan	almost faint	diseases	Enggano Elicitation	Aron 2019	28	2019	almost faint	1				
2011	pahnamik	hampir tidak terlihat	almost invisible	object features	Enggano Meok	Yoder 2011	29	2011	almost invisible	1				
2019	kipahnamik	hampir tidak terlihat	almost invisible	object features	Enggano Elicitation	Aron 2019	29	2019	almost invisible	1				
1982	ho̲o̲	sudah	already	function words	Enggano	Capell 1982	30	1982	already	1				
1987	hō	sudah	already	function words	Enggano	Kähler 1987	30	1987K	already	1				
2011	ho	sudah	already	function words	Enggano Meok	Yoder 2011	30	2011	already	1				
2023	ho	sudah	already	function words	Contemporary Enggano	Zakaria et al. 2023	30	2023	already	1				
1891	aböha	sudah	already	function words	Enggano Kèfoe	Helfrich & Pieters 1891	31	1891	already	1				cf. ready, finished, roast (v.), ripe
1891	aböha	sudah	already	function words	Enggano Barohia	Helfrich & Pieters 1891	31	1891	already	1				cf. ready, finished, roast (v.), ripe
1894	abóha	sudah	already	function words	Enggano	Modigliani 1894	31	1894	already	1				cf. ready, finished, roast (v.), ripe
1895	aboeha	sudah	already	function words	Enggano Pulau Dua 1895	Stockhof 1987	31	1895	already	1				cf. ready, finished, roast (v.), ripe
ms.	ʔaˈbəh	sudah	already	function words	Enggano	Nothofer 1986 ms.	31	ms.	already	1				cf. ready, finished, roast (v.), ripe
1987	abəha	sudah	already	function words	Enggano	Kähler 1987	31	1987K	already	1				cf. ready, finished, roast (v.), ripe
2011	ʔabɨx	sudah	already	function words	Enggano Meok	Yoder 2011	31	2011	already	1				cf. ready, finished, roast (v.), ripe
2019	abėh	sudah	already	function words	Enggano Elicitation	Aron 2019	31	2019	already	1				cf. ready, finished, roast (v.), ripe
1894	bodo	selalu	always	function words	Enggano	Modigliani 1894	32	1894	always	1				cf. earlier
1891	ofè	penyergapan	ambush	activities	Enggano Kèfoe	Helfrich & Pieters 1891	33	1891	ambush	1				
1891	ofè	penyergapan	ambush	activities	Enggano Barohia	Helfrich & Pieters 1891	33	1891	ambush	1				
1891	omokie	penyergapan	ambush	activities	Enggano Kèfoe	Helfrich & Pieters 1891	34	1891	ambush	1				
1891	omokie	penyergapan	ambush	activities	Enggano Barohia	Helfrich & Pieters 1891	34	1891	ambush	1				
1864	na-apoea-kha-halé	leluhur	ancestor	people	Enggano North	Walland 1864	35	1864	people who lived long before us	1				cf. crocodile
1894	napuaca	leluhur	ancestor	people	Enggano	Modigliani 1894	35	1894	ancestor	1				cf. crocodile
1895	na(k) poewanahalè	leluhur	ancestor	people	Enggano Pulau Dua 1895	Stockhof 1987	35	1895	ancestor	1				cf. crocodile
1987	enãʔãpũã	leluhur	ancestor	people	Enggano	Kähler 1987	35	1987K	ancestor	1				cf. crocodile
1987	(ʔ)ũpũ	leluhur	ancestor	people	Enggano	Kähler 1987	36	1987K	ancestor	1				
1864	pahoe	jangkar	anchor (n.)	human objects	Enggano North	Walland 1864	37	1864	anchor (n.)	1				
1895	èfakoe	jangkar	anchor (n.)	human objects	Enggano Pulau Dua 1895	Stockhof 1987	37	1895	anchor, k.o. weight and measure	1				
1987	eãpãkũ	jangkar	anchor (n.)	human objects	Enggano	Kähler 1987	37	1987K	anchor, wooden cylinder	1				
1864	menapa-pahoea oebah	berlabuh	anchor (v.)	activities	Enggano North	Walland 1864	38	1864	anchor (v.)	1				
1987	kikoa	berlabuh	anchor (v.)	activities	Enggano	Kähler 1987	39	1987K	anchor (v.)	1				
1891	mahèkoe	berlabuh	anchored	activities	Enggano Kèfoe	Helfrich & Pieters 1891	40	1891	anchored	1				
1891	mahèkoe	berlabuh	anchored	activities	Enggano Barohia	Helfrich & Pieters 1891	40	1891	anchored	1				
1895	èhèkoe	berlabuh	anchored	activities	Enggano Pulau Dua 1895	Stockhof 1987	40	1895	harbour	1				
1891	hi	dan	and	function words	Enggano Kèfoe	Helfrich & Pieters 1891	41	1891	and	1				
1891	hi	dan	and	function words	Enggano Barohia	Helfrich & Pieters 1891	41	1891	and	1				
1982	hii	dan	and	function words	Enggano	Capell 1982	41	1982	and	1				
1987	hī ; he	dan	and	function words	Enggano	Kähler 1987	41	1987K	and, with, plus	2				
2019	he	dan	and	function words	Enggano Elicitation	Aron 2019	41	2019	and	1				
1891	farakoa	dan	and	function words	Enggano Kèfoe	Helfrich & Pieters 1891	42	1891	and	1				
1891	farakoa	dan	and	function words	Enggano Barohia	Helfrich & Pieters 1891	42	1891	and	1				
1895	farakoa	dan	and	function words	Enggano Pulau Dua 1895	Stockhof 1987	42	1895	and	1				
1891	ijo	dan	and	function words	Enggano Kèfoe	Helfrich & Pieters 1891	43	1891	and	1				
1891	ijo	dan	and	function words	Enggano Barohia	Helfrich & Pieters 1891	43	1891	and	1				
1895	panako	dan	and	function words	Enggano Pulau Dua 1895	Stockhof 1987	44	1895	and	1				
2011	kiʔaru	dan	and	function words	Enggano Meok	Yoder 2011	45	2011	and	1				
1891	fahoewĕ ; fahoewè ; fahouwak	marah	angry	emotion	Enggano Kèfoe	Helfrich & Pieters 1891	46	1891	angry	3				Mod. 'anger'
1891	pahoewĕ ; pahoewè ; fahouwak	marah	angry	emotion	Enggano Barohia	Helfrich & Pieters 1891	46	1891	angry	3				Mod. 'anger'
1894	pahuna chideidia	marah	angry	emotion	Enggano	Modigliani 1894	47	1894	angry	1				gusar
2011	pahu	marah	angry	emotion	Enggano Meok	Yoder 2011	47	2011	angry	1				gusar
2019	kipahu	marah	angry	emotion	Enggano Elicitation	Aron 2019	47	2019	angry	1				gusar
1895	kariha wae	pergelangan kaki	ankle	body parts	Enggano Pulau Dua 1895	Stockhof 1987	48	1895	ankle	1			literally 'ear of leg'	
1987	ekadixa uae	pergelangan kaki	ankle	body parts	Enggano	Kähler 1987	48	1987K	ankle	1			literally 'ear of leg'	
1987	bakEa	pergelangan kaki	ankle	body parts	Enggano Malakoni	Kasim et al. 1987	49	1987	ankle	1			literally 'eye of leg'	
1987	bakEa	pergelangan kaki	ankle	body parts	Enggano Banjar Sari	Kasim et al. 1987	49	1987	ankle	1			literally 'eye of leg'	
1891	ijarak² noha	mengganggu	annoy	emotion	Enggano Kèfoe	Helfrich & Pieters 1891	50	1891	annoy	1				
1891	ijarak² noha	mengganggu	annoy	emotion	Enggano Barohia	Helfrich & Pieters 1891	50	1891	annoy	1				
1891	adie	jawaban	answer (n.)	activities	Enggano Kèfoe	Helfrich & Pieters 1891	51	1891	answer (n.)	1				
1891	arie	jawaban	answer (n.)	activities	Enggano Barohia	Helfrich & Pieters 1891	51	1891	answer (n.)	1				
1895	paharie	jawaban	answer (n.)	activities	Enggano Pulau Dua 1895	Stockhof 1987	51	1895	answer (v.)	1				
1982	adie	jawaban	answer (n.)	activities	Enggano	Capell 1982	51	1982	answer (v.)	1				
ms.	kar ; ʔarha͜i	jawaban	answer (n.)	activities	Enggano	Nothofer 1986 ms.	51	ms.	answer (n.)	2				
1987	edadi ; kadi	jawaban	answer (n.)	activities	Enggano	Kähler 1987	51	1987K	answer (n.)	2	first word means 'answer (n.)', second word means 'answer (v.)'	<w><m>edadi</m> <def> means 'answer (n.)'</def></w> ; <w><m>kadi</m> <def>  means 'answer (v.)'</def></w>		
1891	kifahoudiaĕ	menjawab	answer (v.)	activities	Enggano Kèfoe	Helfrich & Pieters 1891	52	1891	answer (v.)	1				
1891	kifahoudiaĕ	menjawab	answer (v.)	activities	Enggano Barohia	Helfrich & Pieters 1891	52	1891	answer (v.)	1				
1888	kihu	semut	ant	animals	Enggano	Helfrich 1888	53	1888	ant	1				
1891	kiho	semut	ant	animals	Enggano Kèfoe	Helfrich & Pieters 1891	53	1891	ant	1				
1891	kiho	semut	ant	animals	Enggano Barohia	Helfrich & Pieters 1891	53	1891	ant	1				
1895	èkihŏ	semut	ant	animals	Enggano Pulau Dua 1895	Stockhof 1987	53	1895	ant	1				
1987	ekixo	semut	ant	animals	Enggano	Kähler 1987	53	1987K	ant	1				
1855	oemau	semut	ant	animals	Enggano South?	v. Rosenberg 1855	54	1855vR	ant	1				in Kähler eʔũmãõ means 'wild pigeon', in Walland 1864 as 'bird'
<1855	akiaki	semut	ant	animals	Enggano	Brouwer <1855	55	<1855	ant	1				in Kähler eʔakĩʔakĩ means 'swallow' (bird)
1855	akie akie	semut	ant	animals	Enggano Northwest?	vd Straten & S. 1855	55	1855vdS	ant	1				in Kähler eʔakĩʔakĩ means 'swallow' (bird)
1855	aopa	pohon pinang	areca palm	plants	Enggano South?	v. Rosenberg 1855	56	1855vR	betel nut	1				
1891	èoefĕ	pohon pinang	areca palm	plants	Enggano Kèfoe	Helfrich & Pieters 1891	56	1891	betel nut	1				
1891	èoefa	pohon pinang	areca palm	plants	Enggano Barohia	Helfrich & Pieters 1891	56	1891	betel nut	1				
1895	èoefĕ	pohon pinang	areca palm	plants	Enggano Pulau Dua 1895	Stockhof 1987	56	1895	areca palm	1				
1987	eupo	pohon pinang	areca palm	plants	Enggano	Kähler 1987	56	1987K	areca palm	1				
1895	mŏnŏ èoepĕ (ènŏnŏ?)	pohon pinang	areca palm	plants	Enggano Pulau Dua 1895	Stockhof 1987	57	1895	areca palm	1				
1891	paoewĕ	membantah	argue	activities	Enggano Kèfoe	Helfrich & Pieters 1891	58	1891	argue	1				
1891	paoewĕ	membantah	argue	activities	Enggano Barohia	Helfrich & Pieters 1891	58	1891	argue	1				
1987	pauahaʔa͜[o]	membantah	argue	activities	Enggano	Kähler 1987	58	1987K	argue	1				
1894	chèoba nene igidia	membantah	argue	activities	Enggano	Modigliani 1894	59	1894	argue	1				
1891	pĕrhaoedie	lengan	arm	body parts	Enggano Kèfoe	Helfrich & Pieters 1891	60	1891	underarm	1				
1891	pĕrhaoedie	lengan	arm	body parts	Enggano Barohia	Helfrich & Pieters 1891	60	1891	underarm	1				
1894	earahaori	lengan	arm	body parts	Enggano	Modigliani 1894	60	1894	arm	1				
1895	pārāhāoedie	lengan	arm	body parts	Enggano Pulau Dua 1895	Stockhof 1987	60	1895	arm	1				
1987	eparaha͜odi	lengan	arm	body parts	Enggano	Kähler 1987	60	1987K	arm	1				
1987	eʔā uʔapo	tulang lengan	arm bone	body parts	Enggano	Kähler 1987	61	1987K	arm bone	1				
1891	èalofa	ketiak	armpit	body parts	Enggano Kèfoe	Helfrich & Pieters 1891	62	1891	armpit	1				
1891	èaropa	ketiak	armpit	body parts	Enggano Barohia	Helfrich & Pieters 1891	62	1891	armpit	1				
1895	alŏfāa ; arŏpāā	ketiak	armpit	body parts	Enggano Pulau Dua 1895	Stockhof 1987	62	1895	armpit	2				
1987	eʔaroʔopa ; eʔaropa ; eʔarupa	ketiak	armpit	body parts	Enggano	Kähler 1987	62	1987K	armpit	3				
2011	ʔarop	ketiak	armpit	body parts	Enggano Meok	Yoder 2011	62	2011	underarm	1				
2019	yarop	ketiak	armpit	body parts	Enggano Elicitation	Aron 2019	62	2019	underarm	1				
1891	fakèèhèak²	sekitar	around	directions	Enggano Kèfoe	Helfrich & Pieters 1891	63	1891	around	1				
1891	pakèèhèak²	sekitar	around	directions	Enggano Barohia	Helfrich & Pieters 1891	63	1891	around	1				
1895	fakè èhèa ; pakèèhèa	sekitar	around	directions	Enggano Pulau Dua 1895	Stockhof 1987	63	1895	around	2				
1987	kipakẽʔẽ	sekitar	around	directions	Enggano	Kähler 1987	63	1987K	force sb. to make a detour	1				
1891	fainènèak	mengatur	arrange	activities	Enggano Kèfoe	Helfrich & Pieters 1891	64	1891	arrange	1				
1891	painè nèak	mengatur	arrange	activities	Enggano Barohia	Helfrich & Pieters 1891	64	1891	arrange	1				
1987	epahanẽkũ	mengatur	arrange	activities	Enggano	Kähler 1987	64	1987K	ordering of bans	1				
1891	kababa	sudah sampai	arrived	movement	Enggano Kèfoe	Helfrich & Pieters 1891	65	1891	arrive	1				
1891	kababa	sudah sampai	arrived	movement	Enggano Barohia	Helfrich & Pieters 1891	65	1891	arrive	1				
1894	ho abacó	sudah sampai	arrived	movement	Enggano	Modigliani 1894	65	1894	arrived	1				
1895	kababa	sudah sampai	arrived	movement	Enggano Pulau Dua 1895	Stockhof 1987	65	1895	arrive	1				
1895	hoăko(k) wa(k)	sudah sampai	arrived	movement	Enggano Pulau Dua 1895	Stockhof 1987	66	1895	arrive	1				
1987	hо̄ abakəʔa	sudah sampai	arrived	movement	Enggano	Kähler 1987	66	1987K	arrived	1				
1894	ea pica	anak panah	arrow	tools	Enggano	Modigliani 1894	67	1894	arrow	1	Modigliani says this term is used by the Malay people	Modigliani says ea pica is used by the Malay people	Keuning (1955:192, fn. 11) says that the Enggano people never bore any bows and arrows and that the local spears were mistaken for bows and arrows	cf. bow (n.)
1895	èara èpiko(k)	anak panah	arrow	tools	Enggano Pulau Dua 1895	Stockhof 1987	67	1895	arrow	1			Keuning (1955:192, fn. 11) says that the Enggano people never bore any bows and arrows and that the local spears were mistaken for bows and arrows	cf. bow (n.)
1987	eara uipikoʔo͜i	anak panah	arrow	tools	Enggano	Kähler 1987	67	1987K	arrow	1			Keuning (1955:192, fn. 11) says that the Enggano people never bore any bows and arrows and that the local spears were mistaken for bows and arrows	cf. bow (n.)
1891	haba	mengenai ...	as for ...	function words	Enggano Kèfoe	Helfrich & Pieters 1891	68	1891	as for ...	1			not sure if these words are the same	
1891	haba	mengenai ...	as for ...	function words	Enggano Barohia	Helfrich & Pieters 1891	68	1891	as for ...	1			not sure if these words are the same	
1987	ʔũmãhã́ũ	mengenai ...	as for ...	function words	Enggano	Kähler 1987	68	1987K	or, dunno, who knows, as for	1			not sure if these words are the same	
1891	èlè	naik	ascend	movement	Enggano Kèfoe	Helfrich & Pieters 1891	69	1891	ascend	1				
1891	èlè	naik	ascend	movement	Enggano Barohia	Helfrich & Pieters 1891	69	1891	ascend	1				
1891	labia	naik	ascend	movement	Enggano Kèfoe	Helfrich & Pieters 1891	70	1891	ascend	1				
1891	labia	naik	ascend	movement	Enggano Barohia	Helfrich & Pieters 1891	70	1891	ascend	1				
1894	balalát	naik	ascend	movement	Enggano	Modigliani 1894	70	1894	ascend	1				
1894	ahi gèbe	naik	ascend	movement	Enggano	Modigliani 1894	71	1894	ascend	1				
1987	kinãʔã͜uã	naik	ascend	movement	Enggano	Kähler 1987	72	1987K	ascend	1				
2011	naʔau	naik	ascend	movement	Enggano Meok	Yoder 2011	72	2011	ascend	1				
2019	na'(a)u	naik	ascend	movement	Enggano Elicitation	Aron 2019	72	2019	ascend	1				
1891	èföka	abu	ash	natural objects	Enggano Kèfoe	Helfrich & Pieters 1891	73	1891	ash	1				
1891	èpok	abu	ash	natural objects	Enggano Barohia	Helfrich & Pieters 1891	73	1891	ash	1				
1894	epò	abu	ash	natural objects	Enggano	Modigliani 1894	73	1894	fireplace	1				
1895	èīpo(k)	abu	ash	natural objects	Enggano Pulau Dua 1895	Stockhof 1987	73	1895	ash	1				
1982	föka	abu	ash	natural objects	Enggano	Capell 1982	73	1982	ash	1				
1987	epũʔã	abu	ash	natural objects	Enggano	Kähler 1987	73	1987K	ash	1				
1987	p'ēq	abu	ash	natural objects	Enggano Malakoni	Kasim et al. 1987	73	1987	kitchen, cooking place, ash	1				
1987	pēq	abu	ash	natural objects	Enggano Banjar Sari	Kasim et al. 1987	73	1987	kitchen, cooking place, ash	1				
2011	paix ; pɨ̃ʔ	abu	ash	natural objects	Enggano Meok	Yoder 2011	73	2011	ash	2	first means 'ash', second word means 'fireplace' (same word?)	<w><m>paix </m> <def>means 'ash'</def></w> ; <w><m>pɨ̃ʔ</m> <def> means 'fireplace' (same word?)</def></w>		
2019	ẽpė' ; epė̃	abu	ash	natural objects	Enggano Elicitation	Aron 2019	73	2019	ash	2	first means 'ash', second word means 'fireplace' (same word?)	<w><m>ẽpė' </m> <def>means 'ash'</def></w> ; <w><m>epė̃</m> <def> means 'fireplace' (same word?)</def></w>		
1891	èhaĕ	abu	ash	natural objects	Enggano Kèfoe	Helfrich & Pieters 1891	74	1891	ash	1				
1891	èhaĕ ; èhao	abu	ash	natural objects	Enggano Barohia	Helfrich & Pieters 1891	74	1891	ash	2	first means 'ash', second word means 'kitchen' (same word?)	<w><m>èhaĕ </m> <def>means 'ash'</def></w> ; <w><m>èhao</m> <def> means 'kitchen' (same word?)</def></w>		
1895	èhaĕ	abu	ash	natural objects	Enggano Pulau Dua 1895	Stockhof 1987	74	1895	hearth, fireplace	1				
1987	e-ah(a)oi	abu	ash	natural objects	Enggano	Kähler 1987	74	1987K	ash	1				
1864	kha-nioh	bertanya	ask	activities	Enggano North	Walland 1864	75	1864	ask	1				
1891	noenoehoei	bertanya	ask	activities	Enggano Kèfoe	Helfrich & Pieters 1891	75	1891	ask	1				
1891	noenoehoei	bertanya	ask	activities	Enggano Barohia	Helfrich & Pieters 1891	75	1891	ask	1				
1894	manunuhi	bertanya	ask	activities	Enggano	Modigliani 1894	75	1894	ask	1				
1895	noenoehoei	bertanya	ask	activities	Enggano Pulau Dua 1895	Stockhof 1987	75	1895	ask	1				
1987	kinũnṹhũĩ	bertanya	ask	activities	Enggano	Kähler 1987	75	1987K	ask	1				
1855	behoho pakenaauw	bertanya	ask	activities	Enggano Northwest?	vd Straten & S. 1855	76	1855vdS	ask	1				
1894	peeo	bertanya	ask	activities	Enggano	Modigliani 1894	76	1894	ask	1				
1895	aboepèiejok	bertanya	ask	activities	Enggano Pulau Dua 1895	Stockhof 1987	76	1895	ask for	1				
1864	hoewarie	meminta	ask for	activities	Enggano North	Walland 1864	77	1864	ask	1				
1888	ahoewaja	meminta	ask for	activities	Enggano	Helfrich 1888	77	1888	ask for	1				
1891	aharie	meminta	ask for	activities	Enggano Kèfoe	Helfrich & Pieters 1891	77	1891	ask for	1				
1891	aharie	meminta	ask for	activities	Enggano Barohia	Helfrich & Pieters 1891	77	1891	ask for	1				
1895	aharie ; aboepèiejok	meminta	ask for	activities	Enggano Pulau Dua 1895	Stockhof 1987	77	1895	ask for	2				
1891	pakao	heran	astonished	emotion	Enggano Kèfoe	Helfrich & Pieters 1891	78	1891	astonished	1				
1891	pakao	heran	astonished	emotion	Enggano Barohia	Helfrich & Pieters 1891	78	1891	astonished	1				
1895	kāākikieĕ	sepat	astrigent		Enggano Pulau Dua 1895	Stockhof 1987	79	1895	astrigent	1				
1895	èoko ĕ	loteng	attic		Enggano Pulau Dua 1895	Stockhof 1987	80	1895	attic	1				
1888	horiekie	gurdi	auger	tools	Enggano	Helfrich 1888	81	1888	drill (n.)	1				
1891	hörikie	gurdi	auger	tools	Enggano Kèfoe	Helfrich & Pieters 1891	81	1891	rotate, auger	1				
1891	hörikie	gurdi	auger	tools	Enggano Barohia	Helfrich & Pieters 1891	81	1891	rotate, auger	1				
1987	eohodiki	gurdi	auger	tools	Enggano	Kähler 1987	81	1987K	auger	1				
1870	kahou	bibi/paman	aunt/uncle	kinship	Enggano	Francis 1870	82	1870	aunt/uncle	1				
1879	kahoe	bibi/paman	aunt/uncle	kinship	Enggano	Oudemans 1879	82	1879	aunt/uncle	1				
1891	kahou	bibi/paman	aunt/uncle	kinship	Enggano Kèfoe	Helfrich & Pieters 1891	82	1891	maternal uncle	1				
1891	kahou	bibi/paman	aunt/uncle	kinship	Enggano Barohia	Helfrich & Pieters 1891	82	1891	maternal uncle	1				
1895	kahaoewĕ	bibi/paman	aunt/uncle	kinship	Enggano Pulau Dua 1895	Stockhof 1987	82	1895	aunt/uncle	1				
1987	kahao [ehuda/ẽmãnĩ]	bibi/paman	aunt/uncle	kinship	Enggano	Kähler 1987	82	1987K	aunt/uncle	1	second element means 'male/female'	<w element=2><m>[ehuda/ẽmãnĩ]</m> <def>means 'male/female'</def></w>		
2019	kahode [man]	bibi/paman	aunt/uncle	kinship	Enggano Elicitation	Aron 2019	82	2019	aunt/uncle	1				
2023	kaho	bibi/paman	aunt/uncle	kinship	Contemporary Enggano	Zakaria et al. 2023	82	2023	aunt/uncle	1				
1987	kipadəpaʔa	membangunkan	awaken	sleep	Enggano	Kähler 1987	83	1987K	awaken	1				
1987	pa-ʔipaʔa	membangunkan	awaken	sleep	Enggano	Kähler 1987	84	1987K	awaken	1				
