ID	Cognate ID	Year	Given as	Common transcription	Common transcription tokenised	IPA phonemic transcription	IPA phonmeic transcription tokenised	Indonesian	English	Original English gloss in source	Doculect info	Sources	Note for each year	Note for Cognate ID	Crossreference	PAN etymon	PAN English gloss	PAN source	PMP etymon	PMP English gloss	PMP source	Etymological sources	Concepticon gloss	Semantic field	Concepticon	Number of Cognates
15	1	2011	hiɨr	hiu̇r	h i u̇ r	hiɨr	h i ɨ r	perempuan	woman/female		Enggano Meok	Yoder 2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	Kinship	https://concepticon.clld.org/parameters/2105	14
16	1	2019	hiėd	hiėd	h i ė d	hiәd	h i ә d	perempuan	woman/female		Enggano Elicitation	Aron 2019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	Kinship	https://concepticon.clld.org/parameters/2105	14
17	2	<1855	amama	amama	a m a m a	amama	a m a m a	laki-laki	man/male		Enggano	Brouwer <1855	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	Kinship	https://concepticon.clld.org/parameters/2261	13
18	2	1855	amamma	amamma	a m a m m a	amamma	a m a m m a	laki-laki	man/male		Enggano Northwest?	vd Straten & S. 1855	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	Kinship	https://concepticon.clld.org/parameters/2261	13
19	2	1864	[fakka-]manie	[fakka']manii	[ f a k k a ' ] m a n ii	[fakkaʔ]maniː	[ f a k k a ʔ ] m a n iː	laki-laki	man/male		Enggano North	Walland 1864	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	Kinship	https://concepticon.clld.org/parameters/2261	13
20	2	1870	emane	emane	e m a n e	emane	e m a n e	laki-laki	man/male		Enggano	Francis 1870	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	Kinship	https://concepticon.clld.org/parameters/2261	13
21	2	1878	[fakka-]manie	[fakka-]mani	[ f a k k a - ] m a n i	[fakka-]mani	[ f a k k a - ] m a n i	laki-laki	man/male		Enggano Northwest	v. Rosenberg 1878	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	Kinship	https://concepticon.clld.org/parameters/2261	13
22	2	1879	émané	emane	e m a n e	emane	e m a n e	laki-laki	man/male		Enggano	Oudemans 1879	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	Kinship	https://concepticon.clld.org/parameters/2261	13
23	2	1888	maniè ; kemanie	maniE ; kemani	m a n i E # ; # k e m a n i	maniɛ ; kemani	m a n i ɛ # ; # k e m a n i	laki-laki	man/male		Enggano	Helfrich 1888	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	Kinship	https://concepticon.clld.org/parameters/2261	13
24	2	1891	èmani(e)	Emani(e)	E m a n i ( e )	ɛmani(e)	ɛ m a n i ( e )	laki-laki	man/male		Enggano Kèfoe	Helfrich & Pieters 1891	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	Kinship	https://concepticon.clld.org/parameters/2261	13
25	2	1891	èmani(e)	Emani(e)	E m a n i ( e )	ɛmani(e)	ɛ m a n i ( e )	laki-laki	man/male		Enggano Barohia	Helfrich & Pieters 1891	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	Kinship	https://concepticon.clld.org/parameters/2261	13
26	2	1895	èmanī	Emani	E m a n i	ɛmani	ɛ m a n i	laki-laki	man/male		Enggano Pulau Dua 1895	Stockhof 1987	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	Kinship	https://concepticon.clld.org/parameters/2261	13
27	2	1979	eman	eman	e m a n	eman	e m a n	laki-laki	man/male		Enggano	Amran et al. 1979	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	Kinship	https://concepticon.clld.org/parameters/2261	13
28	2	1982	mani	mani	m a n i	mani	m a n i	laki-laki	man/male		Enggano	Capell 1982	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	Kinship	https://concepticon.clld.org/parameters/2261	13
29	2	1987	ẽ-mãnĩ	ẽ-mãnĩ	ẽ - m ã n ĩ	ẽ-mãnĩ	ẽ - m ã n ĩ	laki-laki	man/male		Enggano	Kähler 1987	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	Kinship	https://concepticon.clld.org/parameters/2261	13
30	2	1987	kakh man	kakʰ man	k a k ʰ # m a n	kakʰ man	k a k ʰ # m a n	laki-laki	man/male		Enggano Malakoni	Kasim et al. 1987	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	Kinship	https://concepticon.clld.org/parameters/2261	13
31	2	1987	kakh man	kakʰ man	k a k ʰ # m a n	kakʰ man	k a k ʰ # m a n	laki-laki	man/male		Enggano Banjar Sari	Kasim et al. 1987	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	Kinship	https://concepticon.clld.org/parameters/2261	13
32	2	2011	man	man	m a n	man	m a n	laki-laki	man/male		Enggano Meok	Yoder 2011	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	Kinship	https://concepticon.clld.org/parameters/2261	13
33	2	2019	eman	eman	e m a n	eman	e m a n	laki-laki	man/male		Enggano Elicitation	Aron 2019	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	Kinship	https://concepticon.clld.org/parameters/2261	13
34	3	<1855	adoewa	adua	a d u a	adua	a d u a	dua	two		Enggano	Brouwer <1855	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	Quantity	https://concepticon.clld.org/parameters/1498	12
35	3	1854	adoea	aduwa	a d u w a	aduwa	a d u w a	dua	two		Enggano	Boewang 1854	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	Quantity	https://concepticon.clld.org/parameters/1498	12
36	3	1855	adoea	adua	a d u a	adua	a d u a	dua	two		Enggano South?	v. Rosenberg 1855	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	Quantity	https://concepticon.clld.org/parameters/1498	12
37	3	1855	adoea	adua	a d u a	adua	a d u a	dua	two		Enggano Northwest?	vd Straten & S. 1855	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	Quantity	https://concepticon.clld.org/parameters/1498	12
38	3	1864	adoeah	aduah	a d u a h	aduah	a d u a h	dua	two		Enggano North	Walland 1864	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	Quantity	https://concepticon.clld.org/parameters/1498	12
39	3	1870	adoea	adua	a d u a	adua	a d u a	dua	two		Enggano	Francis 1870	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	Quantity	https://concepticon.clld.org/parameters/1498	12
40	3	1878	adua	adua	a d u a	adua	a d u a	dua	two		Enggano Northwest	v. Rosenberg 1878	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	Quantity	https://concepticon.clld.org/parameters/1498	12
41	3	1879	adoewa	aduwa	a d u w a	aduwa	a d u w a	dua	two		Enggano	Oudemans 1879	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	Quantity	https://concepticon.clld.org/parameters/1498	12
42	3	1888	adoewĕ ; adoewa	aduwė ; aduwa	a d u w ė # ; # a d u w a	aduwə ; aduwa	a d u w ə # ; # a d u w a	dua	two		Enggano	Helfrich 1888	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	Quantity	https://concepticon.clld.org/parameters/1498	12
43	3	1891	adoewĕ	aduwė	a d u w ė	aduwə	a d u w ə	dua	two		Enggano Kèfoe	Helfrich & Pieters 1891	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	Quantity	https://concepticon.clld.org/parameters/1498	12
44	3	1891	adoewa	aduwa	a d u w a	aduwa	a d u w a	dua	two		Enggano Barohia	Helfrich & Pieters 1891	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	Quantity	https://concepticon.clld.org/parameters/1498	12
45	3	1894	adúwa	aduwa	a d u w a	aduwa	a d u w a	dua	two		Enggano	Modigliani 1894	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	Quantity	https://concepticon.clld.org/parameters/1498	12
46	3	1895	adoewa ; adoewĕ	aduwa ; aduwė	a d u w a # ; # a d u w ė	aduwa ; aduwə	a d u w a # ; # a d u w ə	dua	two		Enggano Pulau Dua 1895	Stockhof 1987	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	Quantity	https://concepticon.clld.org/parameters/1498	12
47	3	1979	aru	aru	a r u	aru	a r u	dua	two		Enggano	Amran et al. 1979	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	Quantity	https://concepticon.clld.org/parameters/1498	12
48	3	1987	ʔadua ; ʔarua ; ʔalua	'adua ; 'arua ; 'alua	' a d u a # ; # ' a r u a # ; # ' a l u a	ʔadua ; ʔarua ; ʔalua	ʔ a d u a # ; # ʔ a r u a # ; # ʔ a l u a	dua	two		Enggano	Kähler 1987	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	Quantity	https://concepticon.clld.org/parameters/1498	12
49	3	1987	arūū	aruu	a r uu	aruː	a r uː	dua	two		Enggano Malakoni	Kasim et al. 1987	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	Quantity	https://concepticon.clld.org/parameters/1498	12
50	3	1987	arūū	aruu	a r uu	aruː	a r uː	dua	two		Enggano Banjar Sari	Kasim et al. 1987	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	Quantity	https://concepticon.clld.org/parameters/1498	12
51	3	2011	ʔaru	'aru	' a r u	ʔaru	ʔ a r u	dua	two		Enggano Meok	Yoder 2011	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	Quantity	https://concepticon.clld.org/parameters/1498	12
