ID	Cognate ID	Year	Given as	Common transcription	IPA phonemic transcription	Indonesian	English	Original English gloss in source	Semantic field	Doculect info	Sources	Note for each year	Note for Cognate ID	Crossreference	PAN etymon	PAN English gloss	PAN source	PMP etymon	PMP English gloss	PMP source	Etymological sources	Concepticon gloss	Concepticon	Number of Cognates
21	2	1878	[fakka-]manie	[fakka-]mani	[fakka-]mani	laki-laki	man/male		people	Enggano Northwest	v. Rosenberg 1878	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	https://concepticon.clld.org/parameters/2261	13
22	2	1879	émané	emane	emane	laki-laki	man/male		people	Enggano	Oudemans 1879	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	https://concepticon.clld.org/parameters/2261	13
23	2	1888	maniè ; kemanie	maniE ; kemani	maniɛ ; kemani	laki-laki	man/male		people	Enggano	Helfrich 1888	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	https://concepticon.clld.org/parameters/2261	13
24	2	1891	èmani(e)	Emani(e)	ɛmani(e)	laki-laki	man/male		people	Enggano Kèfoe	Helfrich & Pieters 1891	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	https://concepticon.clld.org/parameters/2261	13
25	2	1891	èmani(e)	Emani(e)	ɛmani(e)	laki-laki	man/male		people	Enggano Barohia	Helfrich & Pieters 1891	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	https://concepticon.clld.org/parameters/2261	13
26	2	1895	èmanī	Emani	ɛmani	laki-laki	man/male		people	Enggano Pulau Dua 1895	Stockhof 1987	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	https://concepticon.clld.org/parameters/2261	13
27	2	1979	eman	eman	eman	laki-laki	man/male		people	Enggano	Amran et al. 1979	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	https://concepticon.clld.org/parameters/2261	13
28	2	1982	mani	mani	mani	laki-laki	man/male		people	Enggano	Capell 1982	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	https://concepticon.clld.org/parameters/2261	13
29	2	1987	ẽ-mãnĩ	ẽ-mãnĩ	ẽ-mãnĩ	laki-laki	man/male		people	Enggano	Kähler 1987	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	https://concepticon.clld.org/parameters/2261	13
30	2	1987	kakh man	kakʰ man	kakʰ man	laki-laki	man/male		people	Enggano Malakoni	Kasim et al. 1987	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	https://concepticon.clld.org/parameters/2261	13
31	2	1987	kakh man	kakʰ man	kakʰ man	laki-laki	man/male		people	Enggano Banjar Sari	Kasim et al. 1987	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	https://concepticon.clld.org/parameters/2261	13
32	2	2011	man	man	man	laki-laki	man/male		people	Enggano Meok	Yoder 2011	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	https://concepticon.clld.org/parameters/2261	13
33	2	2019	eman	eman	eman	laki-laki	man/male		people	Enggano Elicitation	Aron 2019	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	https://concepticon.clld.org/parameters/2261	13
34	3	<1855	adoewa	adua	adua	dua	two		numerals	Enggano	Brouwer <1855	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	https://concepticon.clld.org/parameters/1498	12
35	3	1854	adoea	aduwa	aduwa	dua	two		numerals	Enggano	Boewang 1854	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	https://concepticon.clld.org/parameters/1498	12
36	3	1855	adoea	adua	adua	dua	two		numerals	Enggano South?	v. Rosenberg 1855	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	https://concepticon.clld.org/parameters/1498	12
37	3	1855	adoea	adua	adua	dua	two		numerals	Enggano Northwest?	vd Straten & S. 1855	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	https://concepticon.clld.org/parameters/1498	12
38	3	1864	adoeah	aduah	aduah	dua	two		numerals	Enggano North	Walland 1864	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	https://concepticon.clld.org/parameters/1498	12
39	3	1870	adoea	adua	adua	dua	two		numerals	Enggano	Francis 1870	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	https://concepticon.clld.org/parameters/1498	12
40	3	1878	adua	adua	adua	dua	two		numerals	Enggano Northwest	v. Rosenberg 1878	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	https://concepticon.clld.org/parameters/1498	12
41	3	1879	adoewa	aduwa	aduwa	dua	two		numerals	Enggano	Oudemans 1879	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	https://concepticon.clld.org/parameters/1498	12
42	3	1888	adoewĕ ; adoewa	aduwė ; aduwa	aduwə ; aduwa	dua	two		numerals	Enggano	Helfrich 1888	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	https://concepticon.clld.org/parameters/1498	12
43	3	1891	adoewĕ	aduwė	aduwə	dua	two		numerals	Enggano Kèfoe	Helfrich & Pieters 1891	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	https://concepticon.clld.org/parameters/1498	12
44	3	1891	adoewa	aduwa	aduwa	dua	two		numerals	Enggano Barohia	Helfrich & Pieters 1891	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	https://concepticon.clld.org/parameters/1498	12
45	3	1894	adúwa	aduwa	aduwa	dua	two		numerals	Enggano	Modigliani 1894	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	https://concepticon.clld.org/parameters/1498	12
46	3	1895	adoewa ; adoewĕ	aduwa ; aduwė	aduwa ; aduwə	dua	two		numerals	Enggano Pulau Dua 1895	Stockhof 1987	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	https://concepticon.clld.org/parameters/1498	12
47	3	1979	aru	aru	aru	dua	two		numerals	Enggano	Amran et al. 1979	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	https://concepticon.clld.org/parameters/1498	12
48	3	1987	ʔadua ; ʔarua ; ʔalua	'adua ; 'arua ; 'alua	ʔadua ; ʔarua ; ʔalua	dua	two		numerals	Enggano	Kähler 1987	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	https://concepticon.clld.org/parameters/1498	12
49	3	1987	arūū	aruu	aruː	dua	two		numerals	Enggano Malakoni	Kasim et al. 1987	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	https://concepticon.clld.org/parameters/1498	12
50	3	1987	arūū	aruu	aruː	dua	two		numerals	Enggano Banjar Sari	Kasim et al. 1987	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	https://concepticon.clld.org/parameters/1498	12
51	3	2011	ʔaru	'aru	ʔaru	dua	two		numerals	Enggano Meok	Yoder 2011	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	https://concepticon.clld.org/parameters/1498	12
52	3	2019	aru	aru	aru	dua	two		numerals	Enggano Elicitation	Aron 2019	NA	NA	NA	*<a href=""https://acd.clld.org/cognatesets/26451"" target=""_blank"">Sika</a> + <a href=""https://acd.clld.org/cognatesets/30558"" target=""_blank"">duSa</a>	NUM + two	ACD	*<a href=""https://acd.clld.org/cognatesets/26451#s-11621"" target=""_blank"">(i)ka</a> + <a href=""https://acd.clld.org/cognatesets/30558#s-7875"" target=""_blank"">duha</a>	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	TWO	https://concepticon.clld.org/parameters/1498	12
53	4	1855	adoeei taka tahapoeloe	adue:i taka tahapulu	aduɛi taka tahapulu	lima puluh	fifty		numerals	Enggano South?	v. Rosenberg 1855	NA	lit. '2 person + 10'		NA	NA	NA	NA	NA	NA	NA	FIFTY	https://concepticon.clld.org/parameters/1717	7
54	4	1864	adoeah takkah kaihie poeloeh	aduah takkah ka:ixii puluh	aduah takkah kaiçiː puluh	lima puluh	fifty		numerals	Enggano North	Walland 1864	NA	lit. '2 person + 10'		NA	NA	NA	NA	NA	NA	NA	FIFTY	https://concepticon.clld.org/parameters/1717	7
55	4	1870	adoea takka é kahafoeloe	adua takka e kahafulu	adua takka e kahafulu	lima puluh	fifty		numerals	Enggano	Francis 1870	NA	lit. '2 person + 10'		NA	NA	NA	NA	NA	NA	NA	FIFTY	https://concepticon.clld.org/parameters/1717	7
56	4	1878	aduai-takka-kahei-pulu	adua:i-takka-kahe:i-pulu	aduai-takka-kahɛi-pulu	lima puluh	fifty		numerals	Enggano Northwest	v. Rosenberg 1878	NA	lit. '2 person + 10'		NA	NA	NA	NA	NA	NA	NA	FIFTY	https://concepticon.clld.org/parameters/1717	7
57	4	1879	adoewa takka é kahafoeloe	aduwa takka e kahafulu	aduwa takka e kahafulu	lima puluh	fifty		numerals	Enggano	Oudemans 1879	NA	lit. '2 person + 10'		NA	NA	NA	NA	NA	NA	NA	FIFTY	https://concepticon.clld.org/parameters/1717	7
58	4	1891	adoewĕ takajo kifahoek	aduwė takayo kifahuk	aduwə takajo kifahuk	lima puluh	fifty		numerals	Enggano Kèfoe	Helfrich & Pieters 1891	NA	lit. '2 person + 10'		NA	NA	NA	NA	NA	NA	NA	FIFTY	https://concepticon.clld.org/parameters/1717	7
